long,lat,altissima
-0.125,42.95833333,1
-0.125,46.70833333,1
-0.125,47.20833333,1
-0.208333333,47.875,1
-0.208333333,51.875,1
-0.291666667,38.625,1
-0.291666667,43.95833333,1
-0.291666667,47.79166667,1
-0.375,38.625,1
-0.375,51.04166667,1
-0.541666667,38.29166667,1
-0.541666667,38.70833333,1
-0.541666667,40.04166667,1
-0.541666667,44.70833333,1
-0.541666667,47.625,1
-0.625,46.375,1
-0.708333333,46.04166667,1
-0.791666667,45.04166667,1
-0.875,39.625,1
-0.875,45.20833333,1
-0.958333333,39.70833333,1
-0.958333333,46.54166667,1
-0.958333333,47.54166667,1
-1.041666667,38.20833333,1
-1.291666667,41.625,1
-1.291666667,46.125,1
-1.291666667,47.375,1
-1.541666667,47.29166667,1
-1.541666667,48.95833333,1
-1.708333333,42.20833333,1
-1.708333333,47.125,1
-100.375,25.70833333,1
-103.0416667,37.125,1
-104.625,38.20833333,1
-104.7916667,39.70833333,1
-104.875,39.625,1
-106.4583333,35.125,1
-107.7083333,32.95833333,1
-108.4583333,32.95833333,1
-108.625,39.04166667,1
-110.7916667,39.625,1
-111.9583333,33.45833333,1
-111.9583333,41.04166667,1
-112.0416667,41.20833333,1
-112.125,34.79166667,1
-116.7916667,33.04166667,1
-116.9583333,32.875,1
-117.0416667,33.29166667,1
-117.0416667,34.125,1
-117.0416667,46.45833333,1
-117.4583333,34.125,1
-117.7916667,33.54166667,1
-117.9583333,34.20833333,1
-118.0416667,34.04166667,1
-118.125,34.125,1
-118.2083333,34.20833333,1
-118.2083333,34.29166667,1
-119.2916667,46.375,1
-119.7083333,49.79166667,1
-120.2083333,45.70833333,1
-120.4583333,37.54166667,1
-120.4583333,38.125,1
-120.7916667,35.625,1
-120.7916667,35.79166667,1
-120.7916667,38.375,1
-120.9583333,38.79166667,1
-121.125,46.95833333,1
-121.4583333,38.54166667,1
-121.875,37.95833333,1
-122.2916667,38.625,1
-122.375,39.04166667,1
-122.5416667,45.45833333,1
-122.625,45.29166667,1
-122.875,40.70833333,1
-123.7916667,48.95833333,1
-2.125,34.95833333,1
-2.291666667,39.45833333,1
-2.291666667,40.29166667,1
-2.625,40.54166667,1
-27.875,38.625,1
-28.29166667,38.54166667,1
-3.125,47.54166667,1
-3.208333333,40.625,1
-3.208333333,40.79166667,1
-3.291666667,36.875,1
-3.375,40.20833333,1
-3.625,37.625,1
-3.625,40.125,1
-3.708333333,41.125,1
-4.208333333,37.20833333,1
-4.375,40.375,1
-4.625,37.875,1
-4.791666667,37.20833333,1
-4.958333333,40.125,1
-47.04166667,-22.875,1
-5.041666667,34.04166667,1
-5.041666667,42.375,1
-5.208333333,37.45833333,1
-5.458333333,40.95833333,1
-5.625,42.54166667,1
-5.625,42.625,1
-53.54166667,-34.04166667,1
-54.95833333,-34.29166667,1
-56.29166667,-34.54166667,1
-58.375,-34.54166667,1
-58.375,-34.79166667,1
-58.70833333,-34.875,1
-58.875,-34.79166667,1
-59.20833333,-34.54166667,1
-59.20833333,-38.04166667,1
-6.291666667,53.375,1
-6.375,42.54166667,1
-6.541666667,38.125,1
-6.541666667,41.95833333,1
-6.708333333,34.04166667,1
-6.791666667,42.45833333,1
-6.875,32.875,1
-6.875,38.79166667,1
-6.875,40.20833333,1
-6.958333333,38.875,1
-6.958333333,40.875,1
-60.04166667,-34.875,1
-60.875,-35.45833333,1
-61.29166667,-38.95833333,1
-62.04166667,-38.875,1
-67.79166667,-37.875,1
-68.29166667,-34.875,1
-7.041666667,40.95833333,1
-7.041666667,42.375,1
-7.125,41.125,1
-7.291666667,40.95833333,1
-7.458333333,38.125,1
-7.541666667,40.125,1
-7.541666667,40.54166667,1
-7.625,39.375,1
-7.708333333,40.45833333,1
-7.791666667,40.29166667,1
-7.958333333,42.04166667,1
-70.70833333,-32.875,1
-70.95833333,42.79166667,1
-71.125,42.29166667,1
-71.625,42.125,1
-72.29166667,41.04166667,1
-72.875,41.45833333,1
-73.04166667,40.95833333,1
-73.54166667,41.29166667,1
-74.20833333,40.04166667,1
-74.375,40.79166667,1
-74.45833333,40.875,1
-74.625,39.54166667,1
-74.95833333,40.70833333,1
-75.125,39.54166667,1
-75.29166667,40.125,1
-75.29166667,40.625,1
-75.875,40.29166667,1
-75.95833333,37.125,1
-75.95833333,40.54166667,1
-76.04166667,40.54166667,1
-76.04166667,42.125,1
-76.125,39.29166667,1
-76.20833333,40.04166667,1
-76.45833333,38.45833333,1
-76.54166667,38.95833333,1
-76.54166667,40.125,1
-76.70833333,38.54166667,1
-76.79166667,40.29166667,1
-76.875,39.375,1
-76.875,42.125,1
-76.95833333,39.625,1
-77.125,38.625,1
-77.20833333,39.125,1
-77.20833333,39.45833333,1
-77.29166667,37.375,1
-77.45833333,37.625,1
-77.54166667,38.29166667,1
-77.625,43.125,1
-77.79166667,39.375,1
-77.875,38.79166667,1
-77.875,38.95833333,1
-78.125,38.20833333,1
-78.54166667,35.875,1
-78.54166667,39.29166667,1
-78.54166667,39.70833333,1
-79.125,38.20833333,1
-79.125,41.875,1
-79.20833333,36.70833333,1
-79.20833333,37.375,1
-79.20833333,37.95833333,1
-79.375,42.45833333,1
-79.45833333,43.70833333,1
-79.79166667,40.54166667,1
-8.125,40.20833333,1
-8.125,40.375,1
-8.208333333,40.125,1
-8.208333333,41.04166667,1
-8.291666667,43.375,1
-8.375,40.70833333,1
-8.625,40.20833333,1
-80.125,36.125,1
-80.54166667,34.54166667,1
-80.54166667,39.29166667,1
-81.125,35.04166667,1
-81.375,35.54166667,1
-81.45833333,35.875,1
